Algorithm;Avg Time (ns); Max Depth;Avg Comparisons;Size N
ClosestPair;52328397,5;16;0;
1000;7102300;9;0;1000
2000;7977120;10;0;2000
4000;12777800;11;0;4000
8000;41763240;12;0;8000
16000;89158740;13;0;16000
32000;71539580;14;0;32000
64000;78485240;15;0;64000
102400;109823160;16;0;102400
DeterministicSelect;2210977,5;17;232170,3;
1000;615660;10;7290,8;1000
2000;409420;12;15206,8;2000
4000;2159540;12;30377,4;4000
8000;3644240;13;63581,4;8000
16000;921820;14;127567,8;16000
32000;2152680;15;257261,2;32000
64000;3902420;16;522911;64000
102400;3882040;17;833166;102400
MergeSort;4507165;17;415534,675;
1000;526380;10;8702,8;1000
2000;517040;11;19407,6;2000
4000;700080;12;42834,2;4000
8000;1779620;13;93645,2;8000
16000;2760980;14;203303,8;16000
32000;6056760;15;438523,6;32000
64000;11246740;16;941020;64000
102400;12469720;17;1576840,2;102400
QuickSort;3061350;12;533372,75;
1000;573240;7;11023;1000
2000;276780;7;24211,4;2000
4000;445200;8;53954,8;4000
8000;1140800;9;119141,4;8000
16000;1788740;10;268822,4;16000
32000;4197860;10;566509;32000
64000;7775460;11;1206497,8;64000
102400;8292720;12;2016822,2;102400
